constellation,ra1,dec1,ra2,dec2
Hydrus,39.896985,-68.26694599999999,35.43747,-68.659418
Hydrus,35.43747,-68.659418,29.691765,-61.569859
Lacerta,333.9924,37.748737,337.62192,43.123376
Lacerta,337.62192,43.123376,337.382595,47.706887
Lacerta,337.382595,47.706887,336.12913499999996,49.476392
Lacerta,336.12913499999996,49.476392,335.890125,52.229046
Lacerta,335.890125,52.229046,337.82272500000005,50.282491
Lacerta,337.82272500000005,50.282491,337.382595,47.706887
Leo,177.264945,14.57206,168.560025,15.429570000000002
Leo,168.560025,15.429570000000002,152.09298,11.967207
Leo,152.09298,11.967207,151.833135,16.762664
Leo,151.833135,16.762664,154.99309499999998,19.841489000000006
Leo,154.99309499999998,19.841489000000006,168.52706999999998,20.523717
Leo,168.52706999999998,20.523717,177.264945,14.57206
Leo,154.99309499999998,19.841489000000006,154.172565,23.417311
Leo,154.172565,23.417311,148.19097,26.006951
Leo,148.19097,26.006951,146.46282,23.774255
Leo,168.52706999999998,20.523717,168.560025,15.429570000000002
Lepus,91.53885000000001,-14.935254,89.10123,-14.1677
Lepus,89.10123,-14.1677,86.738925,-14.82195
Lepus,86.738925,-14.82195,83.18256000000001,-17.822289
Lepus,83.18256000000001,-17.822289,78.23292,-16.205468
Lepus,83.18256000000001,-17.822289,87.830355,-20.879089
Lepus,87.830355,-20.879089,86.115855,-22.448382
Lepus,86.115855,-22.448382,82.06133999999999,-20.759441
Lepus,82.06133999999999,-20.759441,76.36527,-22.371032
Lepus,83.18256000000001,-17.822289,82.06133999999999,-20.759441
Lepus,78.23292,-16.205468,79.893855,-13.176788
Lepus,78.23292,-16.205468,78.30783,-12.941291
Lepus,76.36527,-22.371032,78.23292,-16.205468
Lepus,78.30783,-12.941291,78.07459500000003,-11.869219
Lepus,79.893855,-13.176788,79.99593,-12.315585
Leo Minor,163.32789,34.214871,156.970905,36.707212
Leo Minor,156.970905,36.707212,151.857315,35.244693
Leo Minor,151.857315,35.244693,143.55576,36.397558
Leo Minor,151.857315,35.244693,163.32789,34.214871
Lupus,237.73973999999998,-33.627165000000005,241.81752000000003,-36.755676
Lupus,241.81752000000003,-36.755676,240.03054,-38.396706
Lupus,240.03054,-38.396706,237.73973999999998,-33.627165000000005
Lupus,240.03054,-38.396706,233.785215,-41.166757
Lupus,233.785215,-41.166757,230.343015,-40.647518
Lupus,230.343015,-40.647518,230.4516,-36.261376
Lupus,230.343015,-40.647518,224.63305499999998,-43.13396
Lupus,233.785215,-41.166757,234.51348,-42.567348
Lupus,234.51348,-42.567348,228.0714,-52.099247
Lupus,228.0714,-52.099247,220.482345,-47.3882
Lupus,228.0714,-52.099247,219.47181,-49.425828
Lupus,220.482345,-47.3882,216.54504,-45.379276
Lupus,220.482345,-47.3882,224.63305499999998,-43.13396
Lynx,140.263875,34.392562,139.711035,36.802597
Lynx,139.711035,36.802597,136.632375,38.452215
Lynx,136.632375,38.452215,135.160275,41.782911
Lynx,135.160275,41.782911,125.70882000000002,43.188131
Lynx,125.70882000000002,43.188131,111.678555,49.211527
Lynx,111.678555,49.211527,104.31917999999997,58.422759
Lynx,104.31917999999997,58.422759,94.90578,59.010964
Musca,191.57019,-68.10811899999999,176.402115,-66.728763
Musca,176.402115,-66.728763,188.11701000000002,-72.132988
Musca,188.11701000000002,-72.132988,189.29608499999998,-69.135564
Musca,189.29608499999998,-69.135564,191.57019,-68.10811899999999
Pavo,306.411885,-56.73509,321.610575,-65.366198
Pavo,321.610575,-65.366198,311.23971,-66.203212
Pavo,311.23971,-66.203212,302.17735500000003,-66.182068
Pavo,302.17735500000003,-66.182068,306.411885,-56.73509
Pavo,302.17735500000003,-66.182068,300.147675,-72.910504
Pavo,300.147675,-72.910504,280.7589,-71.428113
Pavo,280.7589,-71.428113,284.23765499999996,-67.23349499999999
Pavo,284.23765499999996,-67.23349499999999,302.17735500000003,-66.182068
Pavo,284.23765499999996,-67.23349499999999,283.05431999999996,-62.18759300000001
Pavo,283.05431999999996,-62.18759300000001,275.806755,-61.493901
Pavo,275.806755,-61.493901,272.14500000000004,-63.668553
Pavo,272.14500000000004,-63.668553,283.05431999999996,-62.18759300000001
Pavo,272.14500000000004,-63.668553,266.433315,-64.723871
Piscis Austrinus,344.41256999999996,-29.622236,340.16391,-27.043617
Piscis Austrinus,340.16391,-27.043617,330.209265,-28.453736
Piscis Austrinus,330.209265,-28.453736,326.93397,-30.898304
Piscis Austrinus,326.93397,-30.898304,332.536395,-32.548407
Piscis Austrinus,332.536395,-32.548407,337.87634999999995,-32.346073
Piscis Austrinus,337.87634999999995,-32.346073,343.98708000000005,-32.539628
Pisces,15.704565000000002,31.804263,18.43728,24.583713
Pisces,15.704565000000002,31.804263,19.866645000000002,27.264059000000003
Pisces,19.866645000000002,27.264059000000003,18.43728,24.583713
Pisces,18.43728,24.583713,22.870875,15.345823
Pisces,22.870875,15.345823,26.34846,9.157736
Pisces,26.34846,9.157736,30.511755000000004,2.763759
Pisces,30.511755000000004,2.763759,28.388955,3.187536
Pisces,28.388955,3.187536,25.357889999999998,5.487613
Pisces,25.357889999999998,5.487613,22.546305,6.14382
Pisces,22.546305,6.14382,15.73587,7.890135000000001
Pisces,15.73587,7.890135000000001,12.072539999999998,7.299927999999999
Pisces,12.072539999999998,7.299927999999999,5.149425,8.190271000000001
Pisces,5.149425,8.190271000000001,359.827875,6.863321000000001
Pisces,359.827875,6.863321000000001,354.98766,5.6262919999999985
Pisces,354.98766,5.6262919999999985,355.511685,1.780041
Pisces,355.511685,1.780041,351.73314,1.255608
Pisces,351.73314,1.255608,349.29141,3.282289
Pisces,349.29141,3.282289,351.99207,6.378992
Pisces,351.99207,6.378992,354.98766,5.6262919999999985
Scorpius,263.402175,-37.103821,265.62197999999995,-39.029983
Scorpius,265.62197999999995,-39.029983,266.89617000000004,-40.126997
Scorpius,266.89617000000004,-40.126997,264.3296999999999,-42.997824
Scorpius,264.3296999999999,-42.997824,258.03827999999993,-43.239189
Scorpius,258.03827999999993,-43.239189,253.49886,-42.362025
Scorpius,253.49886,-42.362025,252.96763499999997,-38.04738
Scorpius,252.96763499999997,-38.04738,252.5412,-34.293232
Scorpius,252.5412,-34.293232,248.970645,-28.216016
Scorpius,248.970645,-28.216016,247.35191999999998,-26.432002
Scorpius,247.35191999999998,-26.432002,240.08335499999998,-22.62171
Scorpius,247.35191999999998,-26.432002,239.712975,-26.114105
Scorpius,247.35191999999998,-26.432002,241.3593,-19.805453
Serpens,237.40502999999998,-3.4302080000000004,237.704025,4.47773
Serpens,237.704025,4.47773,236.06697,6.425627
Serpens,236.06697,6.425627,233.700615,10.538867
Serpens,233.700615,10.538867,236.54689499999998,15.421826
Serpens,236.54689499999998,15.421826,239.11323000000002,15.661617
Serpens,239.11323000000002,15.661617,237.184905,18.141564
Serpens,237.184905,18.141564,236.54689499999998,15.421826
Serpens,284.05492499999997,4.203595,275.32750500000003,-2.898825
Serpens,275.32750500000003,-2.898825,265.353645,-12.875307
Serpens,265.353645,-12.875307,264.396675,-15.398557
Serpens,264.396675,-15.398557,260.20692,-12.846875
Taurus,81.57297000000001,28.60745,70.56125999999999,22.956926
Taurus,70.56125999999999,22.956926,67.15414500000001,19.180431
Taurus,68.98015500000001,16.509301,84.41119499999999,21.142549
Taurus,64.948335,15.627642000000002,65.733705,17.542514
Taurus,64.948335,15.627642000000002,60.17006999999998,12.490347
Taurus,60.17006999999998,12.490347,51.203309999999995,9.02887
Taurus,68.98015500000001,16.509301,67.15414500000001,19.180431
Taurus,68.98015500000001,16.509301,67.165575,15.870883
Taurus,67.165575,15.870883,64.948335,15.627642000000002
Taurus,67.15414500000001,19.180431,66.37241999999999,17.92791
Taurus,66.37241999999999,17.92791,65.733705,17.542514
Taurus,65.733705,17.542514,57.290595,24.053415
Tucana,334.625565,-60.259587,349.35747,-58.235734
Tucana,349.35747,-58.235734,5.01213,-64.874791
Tucana,349.35747,-58.235734,7.8858749999999995,-62.958218
Ursa Major,206.88531,49.313265,200.98120500000002,54.925362
Ursa Major,200.98120500000002,54.925362,193.50708,55.959821
Ursa Major,193.50708,55.959821,183.85628999999997,57.032617
Ursa Major,183.85628999999997,57.032617,165.93232500000002,61.75103299999999
Ursa Major,165.93232500000002,61.75103299999999,165.46015500000001,56.382427
Ursa Major,165.46015500000001,56.382427,178.45752000000002,53.69476
Ursa Major,178.45752000000002,53.69476,183.85628999999997,57.032617
Ursa Major,178.45752000000002,53.69476,176.51272500000002,47.779406
Ursa Major,176.51272500000002,47.779406,167.41592999999997,44.498487
Ursa Major,167.41592999999997,44.498487,154.27428,42.914365
Ursa Major,167.41592999999997,44.498487,155.582325,41.499516
Ursa Major,165.46015500000001,56.382427,148.02649499999998,54.06433199999999
Ursa Major,148.02649499999998,54.06433199999999,143.215725,51.6773
Ursa Major,143.215725,51.6773,135.906405,47.156525
Ursa Major,143.215725,51.6773,134.80241999999998,48.041826
Ursa Major,148.02649499999998,54.06433199999999,147.748005,59.038735
Ursa Major,147.748005,59.038735,127.56646500000001,60.718169
Ursa Major,127.56646500000001,60.718169,142.881795,63.061861
Ursa Major,142.881795,63.061861,165.93232500000002,61.75103299999999
Ursa Minor,37.94625,89.26410899999998,263.05377,86.58646
Ursa Minor,263.05377,86.58646,251.49238499999998,82.037262
Ursa Minor,251.49238499999998,82.037262,236.01448499999995,77.794493
Ursa Minor,236.01448499999995,77.794493,244.37686499999998,75.75533
Ursa Minor,244.37686499999998,75.75533,230.18224499999997,71.834016
Ursa Minor,230.18224499999997,71.834016,222.67657499999999,74.155505
Ursa Minor,222.67657499999999,74.155505,236.01448499999995,77.794493
Volans,115.45506,-72.606098,107.18682000000001,-70.498932
Volans,107.18682000000001,-70.498932,121.982595,-68.617062
Volans,121.982595,-68.617062,115.45506,-72.606098
Volans,121.982595,-68.617062,109.20762,-67.95715200000001
Volans,121.982595,-68.617062,126.434265,-66.13689000000001
Volans,126.434265,-66.13689000000001,135.611655,-66.39607600000001
Volans,135.611655,-66.39607600000001,121.982595,-68.617062
Vulpecula,292.176405,24.664905,300.27519,27.753573
Centaurus,219.911475,-60.833976,210.95593499999998,-60.373039
Centaurus,210.95593499999998,-60.373039,204.97194000000002,-53.466394
Centaurus,204.97194000000002,-53.466394,208.885005,-47.288375
Centaurus,208.885005,-47.288375,209.669805,-44.803584
Centaurus,209.669805,-44.803584,207.404145,-42.473732
Centaurus,207.404145,-42.473732,207.37617,-41.68770900000001
Centaurus,207.37617,-41.68770900000001,202.76107499999998,-39.407307
Centaurus,202.76107499999998,-39.407307,200.14944,-36.71229500000001
Centaurus,207.37617,-41.68770900000001,211.670925,-36.369954
Centaurus,207.404145,-42.473732,218.87679000000003,-42.157824
Centaurus,218.87679000000003,-42.157824,224.790375,-42.104194
Centaurus,208.885005,-47.288375,190.37956499999999,-48.959888
Centaurus,190.37956499999999,-48.959888,187.009965,-50.230635
Centaurus,187.009965,-50.230635,182.08965,-50.722425
Centaurus,182.08965,-50.722425,173.690325,-54.264091
Centaurus,173.690325,-54.264091,173.94544499999998,-63.01984100000001
Cetus,33.249975000000006,8.846717,37.03975500000001,8.460054
Cetus,26.017185,-15.93748,10.897350000000001,-17.986604999999994
Cetus,10.897350000000001,-17.986604999999994,4.856985,-8.823921
Cetus,10.897350000000001,-17.986604999999994,17.14746,-10.182264
Cetus,17.14746,-10.182264,21.00585,-8.183257000000001
Cetus,21.00585,-8.183257000000001,27.86514,-10.335038
Cetus,27.86514,-10.335038,36.487514999999995,-12.29048
Cetus,36.487514999999995,-12.29048,39.89097,-11.872156
Cetus,39.89097,-11.872156,41.030625,-13.858695999999998
Cetus,41.030625,-13.858695999999998,38.02179,-15.244677
Cetus,38.02179,-15.244677,26.017185,-15.93748
Cetus,34.83663,-2.977643,39.89097,-11.872156
Cetus,34.83663,-2.977643,39.870659999999994,0.328511
Cetus,39.870659999999994,0.328511,40.82516999999999,3.235818
Cetus,40.82516999999999,3.235818,45.569880000000005,4.089734
Cetus,45.569880000000005,4.089734,44.92875,8.907364999999997
Cetus,44.92875,8.907364999999997,41.23558499999999,10.114146
Cetus,41.23558499999999,10.114146,37.03975500000001,8.460054
Cetus,37.03975500000001,8.460054,38.968635,5.593246
Cetus,38.968635,5.593246,40.82516999999999,3.235818
Draco,268.38201,56.872643,269.151555,51.488895
Draco,269.151555,51.488895,262.60819499999997,52.301387
Draco,262.60819499999997,52.301387,263.06650500000006,55.172958
Draco,263.06650500000006,55.172958,268.38201,56.872643
Draco,268.38201,56.872643,288.138375,67.661541
Draco,288.138375,67.661541,297.04275,70.26793
Draco,297.04275,70.26793,288.888435,73.355468
Draco,288.888435,73.355468,275.26104000000004,72.732843
Draco,275.26104000000004,72.732843,257.19671999999997,65.714683
Draco,257.19671999999997,65.714683,245.9979,61.514213
Draco,245.9979,61.514213,240.47298000000004,58.565251
Draco,240.47298000000004,58.565251,231.23241,58.966065
Draco,231.23241,58.966065,211.097475,64.37585
Draco,211.097475,64.37585,188.37087,69.788238
Draco,188.37087,69.788238,172.851105,69.331076
Hydra,130.80615000000003,3.3986620000000003,129.68932500000003,3.341435
Hydra,129.68932500000003,3.341435,129.41403,5.703782
Hydra,129.41403,5.703782,131.693805,6.418809
Hydra,131.693805,6.418809,132.10821,5.837812
Hydra,132.10821,5.837812,130.80615000000003,3.3986620000000003
Hydra,132.10821,5.837812,133.84844999999999,5.945563
Hydra,133.84844999999999,5.945563,138.591075,2.31428
Hydra,138.591075,2.31428,142.99553999999998,-1.184664
Hydra,142.99553999999998,-1.184664,142.287075,-2.768964
Hydra,142.287075,-2.768964,141.89685,-8.658603
Hydra,141.89685,-8.658603,147.86955,-14.846603
Hydra,147.86955,-14.846603,152.647005,-12.354083
Hydra,152.647005,-12.354083,156.52263,-16.836289999999998
Hydra,156.52263,-16.836289999999998,162.406185,-16.193648
Hydra,162.406185,-16.193648,173.25057,-31.857625
Hydra,173.25057,-31.857625,178.22719499999997,-33.908124
Hydra,178.22719499999997,-33.908124,197.26363500000002,-23.11807
Hydra,197.26363500000002,-23.11807,199.73038499999998,-23.171512
Monoceros,93.71388,-6.274776,97.204455,-7.033061999999998
Monoceros,97.204455,-7.033061999999998,107.966085,-0.492764
Monoceros,107.966085,-0.492764,95.942025,4.592865
Monoceros,95.942025,4.592865,92.24127,2.499692
Monoceros,107.966085,-0.492764,122.14854000000001,-2.9837860000000003
Monoceros,122.14854000000001,-2.9837860000000003,115.31181,-9.551131
Pegasus,3.30897,15.183596,346.19022,15.205264
Pegasus,345.943515,28.082789,340.75056,30.221245
Pegasus,340.75056,30.221245,332.306835,33.172337
Pegasus,345.943515,28.082789,342.500775,24.601579
Pegasus,342.500775,24.601579,341.632815,23.565654
Pegasus,341.632815,23.565654,331.752705,25.345112
Pegasus,331.752705,25.345112,326.16137999999995,25.645036
Pegasus,346.19022,15.205264,341.67324,12.172888
Pegasus,341.67324,12.172888,340.365495,10.831364
Pegasus,340.365495,10.831364,332.54994000000005,6.197865
Pegasus,332.54994000000005,6.197865,326.046495,9.875011
Pegasus,2.0968649999999998,29.090432,345.943515,28.082789
Pegasus,2.0968649999999998,29.090432,3.30897,15.183596
Pegasus,345.943515,28.082789,346.19022,15.205264
Phoenix,17.09613,-55.24576,16.521105000000002,-46.718414
Phoenix,16.521105000000002,-46.718414,6.55074,-43.679829
Phoenix,6.55074,-43.679829,17.09613,-55.24576
Phoenix,16.521105000000002,-46.718414,22.812765,-49.072702
Phoenix,22.812765,-49.072702,28.41153,-46.302669
Phoenix,28.41153,-46.302669,16.521105000000002,-46.718414
Phoenix,16.521105000000002,-46.718414,22.091385,-43.318234
Phoenix,22.091385,-43.318234,6.55074,-43.679829
Phoenix,6.55074,-43.679829,6.570840000000001,-42.305981
Phoenix,6.570840000000001,-42.305981,2.35254,-45.747426
Phoenix,2.35254,-45.747426,6.55074,-43.679829
Andromeda,2.0968649999999998,29.090432,9.83193,30.861024
Andromeda,9.83193,30.861024,17.43291,35.620558
Andromeda,30.97476,42.329725,17.43291,35.620558
Andromeda,17.43291,35.620558,14.188274999999999,38.499345
Andromeda,14.188274999999999,38.499345,12.453510000000001,41.078911
Aquarius,322.88973,-5.571172,331.445985,-0.319851
Aquarius,331.445985,-0.319851,335.41407,-1.387331
Aquarius,335.41407,-1.387331,337.207965,-0.019972
Aquarius,337.207965,-0.019972,338.83908,-0.117498
Aquarius,338.83908,-0.117498,343.15364999999997,-7.579599000000001
Aquarius,343.15364999999997,-7.579599000000001,348.97288499999996,-9.087737
Aquarius,348.97288499999996,-9.087737,350.74263,-20.10058
Aquarius,331.445985,-0.319851,334.20847499999996,-7.783289999999999
Aquarius,334.20847499999996,-7.783289999999999,331.60929,-13.869679
Aquarius,334.20847499999996,-7.783289999999999,337.66173,-10.67795
Aquarius,337.66173,-10.67795,342.39791999999994,-13.592632
Aquarius,342.39791999999994,-13.592632,343.66255500000005,-15.82082
Aquarius,343.66255500000005,-15.82082,347.361645,-21.17241
Aquarius,311.91897,-9.495776,322.88973,-5.571172
Auriga,89.930265,37.212585,89.882235,44.947433
Auriga,89.882235,44.947433,79.17225,45.997991
Auriga,79.17225,45.997991,75.61951499999999,41.075837
Auriga,75.61951499999999,41.075837,74.24841,33.166090000000004
Auriga,81.57297000000001,28.60745,74.24841,33.166090000000004
Auriga,81.57297000000001,28.60745,89.930265,37.212585
Cassiopeia,28.59876,63.670101,21.453239999999997,60.235283
Cassiopeia,21.453239999999997,60.235283,14.177144999999998,60.71674
Cassiopeia,14.177144999999998,60.71674,10.12674,56.53733100000001
Cassiopeia,10.12674,56.53733100000001,2.2933049999999997,59.14978000000001
Cepheus,332.71362,58.201261,342.4203,66.200408
Cepheus,342.4203,66.200408,322.16492999999997,70.560716
Cepheus,322.16492999999997,70.560716,319.64444999999995,62.585573
Cepheus,319.64444999999995,62.585573,332.71362,58.201261
Cepheus,342.4203,66.200408,354.83729999999997,77.632276
Cepheus,354.83729999999997,77.632276,322.16492999999997,70.560716
Coma Berenices,197.49703499999998,17.529431,197.96856,27.878183
Coma Berenices,197.96856,27.878183,186.73449000000002,28.268423
Gemini,99.42792000000001,16.399252,106.02721499999997,20.570297
Gemini,106.02721499999997,20.570297,110.03074500000001,21.98232
Gemini,110.03074500000001,21.98232,109.52325,16.540383
Gemini,109.52325,16.540383,101.32236,12.895591
Gemini,110.03074500000001,21.98232,113.98062,26.895741
Gemini,113.98062,26.895741,116.11189499999999,24.397993
Gemini,113.98062,26.895741,116.32915500000001,28.026199
Gemini,113.98062,26.895741,111.431685,27.79808
Gemini,111.431685,27.79808,107.78488499999997,30.245163
Gemini,107.78488499999997,30.245163,113.64950999999998,31.888276
Gemini,107.78488499999997,30.245163,103.19724000000001,33.961254
Gemini,107.78488499999997,30.245163,100.98303,25.131124
Gemini,100.98303,25.131124,97.240785,20.212133
Gemini,100.98303,25.131124,95.74009500000001,22.513586
Gemini,95.74009500000001,22.513586,93.71941500000001,22.506799
Gemini,93.71941500000001,22.506799,91.030065,23.263341
Hercules,264.866205,46.006332,269.06325000000004,37.250539
Hercules,269.06325000000004,37.250539,260.92062,37.145946
Hercules,260.92062,37.145946,259.4177550000001,37.291498
Hercules,259.4177550000001,37.291498,258.76182,36.809162
Hercules,258.76182,36.809162,250.72399499999997,38.922254
Hercules,250.72399499999997,38.922254,248.52576,42.437041
Hercules,248.52576,42.437041,244.93516499999998,46.313366
Hercules,244.93516499999998,46.313366,238.168545,42.451518
Hercules,250.72399499999997,38.922254,250.321695,31.602726
Hercules,250.321695,31.602726,247.55501999999998,21.489613
Hercules,247.55501999999998,21.489613,245.48007000000004,19.15313
Hercules,250.321695,31.602726,255.07240499999997,30.926405
Hercules,255.07240499999997,30.926405,262.68461999999994,26.110645
Hercules,262.68461999999994,26.110645,258.75796499999996,24.839204
Hercules,266.6147850000001,27.720676,269.44116,29.24788
Hercules,269.44116,29.24788,271.88561999999996,28.762488
Hercules,255.07240499999997,30.926405,258.76182,36.809162
Hercules,266.6147850000001,27.720676,262.68461999999994,26.110645
Indus,319.96644,-53.449427,309.39173999999997,-47.291502
Indus,309.39173999999997,-47.291502,313.70247,-58.45415500000001
Indus,313.70247,-58.45415500000001,319.96644,-53.449427
Ophiuchus,263.733615,12.560035,265.868145,4.567303
Ophiuchus,257.59452000000005,-15.72491,265.868145,4.567303
Ophiuchus,263.733615,12.560035,254.41708500000007,9.375033
Ophiuchus,254.41708500000007,9.375033,244.58037,-4.692511
Ophiuchus,244.58037,-4.692511,249.28974000000002,-10.56709
Ophiuchus,249.28974000000002,-10.56709,257.59452000000005,-15.72491
Ophiuchus,257.59452000000005,-15.72491,262.85397,-23.962643
Orion,85.18969499999999,-1.942572,84.05338499999999,-1.20192
Orion,84.05338499999999,-1.20192,83.001675,-0.299092
Orion,90.86402999999997,19.690561,92.984985,14.208765
Orion,92.984985,14.208765,91.89301499999999,14.768472
Orion,91.89301499999999,14.768472,88.59579000000001,20.276174
Orion,92.984985,14.208765,90.59582999999999,9.647276
Orion,90.59582999999999,9.647276,88.792935,7.407063000000001
Orion,88.792935,7.407063000000001,85.18969499999999,-1.942572
Orion,85.18969499999999,-1.942572,86.939115,-9.669605
Orion,86.939115,-9.669605,78.63447000000001,-8.20164
Orion,78.63447000000001,-8.20164,83.001675,-0.299092
Orion,83.001675,-0.299092,81.282765,6.349702
Orion,81.282765,6.349702,83.784495,9.934158
Orion,83.784495,9.934158,88.792935,7.407063000000001
Orion,81.282765,6.349702,72.460035,6.961276
Orion,72.460035,6.961276,72.80151,5.605104
Orion,72.80151,5.605104,73.34488499999999,2.508225
Orion,73.34488499999999,2.508225,74.63709000000001,1.714016
Orion,72.460035,6.961276,72.65301000000001,8.900176
Orion,72.65301000000001,8.900176,73.72386,10.150833
Orion,91.89301499999999,14.768472,90.59582999999999,9.647276
Perseus,56.07972,32.288248,58.53300000000001,31.883635
Perseus,58.53300000000001,31.883635,59.74125,35.791033
Perseus,59.74125,35.791033,59.46345,40.010215
Perseus,59.46345,40.010215,55.73123999999999,47.787551
Perseus,55.73123999999999,47.787551,51.08067,49.86118
Perseus,51.08067,49.86118,46.19913,53.50644000000001
Perseus,46.19913,53.50644000000001,42.674175,55.895496
Perseus,51.08067,49.86118,47.04221999999999,40.955648
